symbol,globalScore_x,globalScore_y,chembl
NOD2,0.8478142882306459,,
IL10RA,0.7465009705487327,,
IL10RB,0.6817642527733345,,
INAVA,0.5894839242530053,,
IL23R,0.570242789265554,,
ADAM17,0.551879976343631,,
TNFSF15,0.549154550852011,,
EGFR,0.5379217643129307,,
HSPA1L,0.515486639591613,,
RIPK1,0.515486639591613,0.5423368555314604,0.1367844294626147
BACH2,0.5144956826803961,,
TGFB1,0.5134415341010165,,
SMAD3,0.5090837969843758,,
CARD8,0.5087882666159393,,
ANKRD55,0.5071073620544704,,
PTPN2,0.499052130266788,,
PUS10,0.4988802168757446,,
IRGM,0.4985107686197608,,
C1orf141,0.4984115323103275,,
IAH1,0.4948091774531392,,
CDKAL1,0.4947122648263034,,
NR5A2,0.4940726901586169,,
IL21,0.4915278077819095,,
GPR65,0.4883311791310143,,
SYK,0.487836134469587,,
TET2,0.4851656656683937,,
LRRK2,0.4832092716005403,,
OSMR,0.4825220513971984,,
CUL2,0.4792535141952549,,
NKX2-3,0.4789199306762303,,
IRF8,0.4786471741222908,,
GALC,0.4783611782229139,,
IRF5,0.4783083954895787,,
CD226,0.4773669538504994,,
SNX20,0.477020895733819,,
ADCY7,0.4763777198820981,,
GPR35,0.4750294301260991,,
TMEM91,0.4735241888147741,,
CD6,0.4725486311886411,,
IL2RA,0.467778548691741,0.4870970867513817,0.1734122600187148
RASGRP1,0.4674394849437301,,
MAP3K8,0.4659812854868633,0.4824688195736936,0.1215861595223242
KSR1,0.4638474221736717,,
PTGER4,0.463659815917073,0.4875056916290272,0.1215861595223242
LACC1,0.4633642684885395,,
NFKB1,0.461530097513059,,
PRKCB,0.4578488870054998,0.4705331430038852,0.1215861595223242
FCGR2A,0.4561837218179053,,
ATG16L1,0.4553801825631491,,
IL12B,0.4539921648133857,0.7010772680723982,0.9480310711713468
SPRED2,0.4535851742515698,,
ADCY3,0.4520073891346438,,
CYLD,0.4485954887294162,,
IKZF1,0.4468832276688394,,
NKD1,0.4459220568266654,,
TAGAP,0.4428916882955639,,
NXPE1,0.4422585963823934,,
JAZF1,0.4415080145355514,,
IPMK,0.4394571832663775,,
NFATC1,0.4392466973358158,,
ZNF831,0.4386790600283452,,
JAK2,0.4376695982553519,0.6830834697959983,0.9028777367806028
DLD,0.4355985766115121,,
CREM,0.4354392196427489,,
IL18R1,0.4346933410974435,,
FOSL2,0.4344399169059107,,
GNA12,0.4320883820455483,,
BANK1,0.4308104557238384,,
CCL2,0.4292389031082437,,
PRDM1,0.427743871075983,,
TRIB1,0.4264868625259124,,
PLCG2,0.4257531418113326,,
CD40,0.4251295118935257,,
TNFSF8,0.4242949959440029,,
IL12RB2,0.4233974585079497,,
IRF1,0.4221873604765391,,
CARS1,0.4217295178062423,,
IFIH1,0.4206785349828184,,
THEMIS,0.4200617644554683,,
DNMT3A,0.4190105310684916,,
ETS1,0.4181317679515278,,
SLC26A3,0.4175727497368454,,
IL17REL,0.4175117317273803,,
SLC22A4,0.4174079029009723,,
DENND1B,0.4154775623292655,,
TLR4,0.4152317233088785,,
MAML2,0.4133630542145218,,
ITGA4,0.4132302389472764,0.705868581472474,0.98529134349517
PTPRC,0.4127592058627325,,
SLC39A11,0.4124619083192412,,
TNRC18,0.4094934763360127,,
ZFP90,0.4072786944845252,,
ZBTB40,0.4065039700429737,,
IFNG,0.4053032661330529,,
RSPO3,0.4048006513623552,,
SLC9A8,0.4022550581295735,,
STAT4,0.4020838043311374,,
HLX,0.4010692240398308,,
SLC22A23,0.4008384708609407,,
REL,0.4008272709595228,,
ERRFI1,0.4004792731884586,,
TNFSF18,0.3988489610894098,,
LNPEP,0.3978505119279729,,
PLAU,0.3969110233832459,,
C17orf67,0.3961577632260243,,
RORC,0.3921401683871751,,
DUSP5,0.3901228121551323,,
ERAP1,0.3898364943810132,,
HHEX,0.3882989298197943,,
THADA,0.3877445555082162,,
ANKRD30A,0.3876896071583207,,
CEBPB,0.3875519551681328,,
IL18RAP,0.38729156634459,,
RNASET2,0.3867177980141811,,
TNFAIP3,0.3866191676420206,,
DAP,0.3838342049314157,,
PLCL1,0.3837795748079641,,
C7orf33,0.3832734267035478,,
LITAF,0.3826749936075748,,
CPEB4,0.3824423678273583,,
HORMAD2,0.378985517395235,,
ASAP2,0.3780337880295615,,
CEP43,0.3778393580394714,,
OLIG3,0.3777863941616328,,
HDAC7,0.37685886215332,,
SMURF1,0.3752928769096328,,
OSGIN2,0.3747911025441165,,
CDKN2A,0.3730110302370558,,
PDGFB,0.3728434763506913,,
RNF186,0.3719898171602488,,
FOS,0.3710568925906534,,
IFNGR2,0.3707050526758839,,
CIITA,0.3702711985760675,,
STAT3,0.3685846553892791,,
FUT2,0.3661139658349555,,
BTRC,0.3654175351392605,,
SLC39A8,0.3640762736624345,,
TUBD1,0.3640544375783994,,
SOX4,0.3632715334559794,,
PITX1,0.3610954407747331,,
SP140,0.3604552203306523,,
EGR2,0.3589037365534054,,
ADGRL2,0.3586980130918879,,
PARK7,0.3569535468631758,,
SLC22A5,0.3566102004204445,,
RIPK2,0.355271149736066,,
PLA2G4A,0.3547351003152789,,
CEP72,0.3528376502161685,,
IL19,0.3500923970478184,,
TMEM174,0.3499509684617229,,
CD28,0.349705364556841,,
RPS6KB1,0.3491313329337197,,
TNFRSF14,0.3490306376253403,,
IL1RL1,0.3481993043003352,,
UBASH3A,0.347144672558351,,
